298,-75.3167,49.4288,-925.481,7.08406,50.2909,-1163.12,6.13043,49.716,-1044.02,4.63909,48.4116,-925.011,164.408,47.498,-923.536
306,-75.3592,49.474,-925.492,7.07856,50.2373,-1163.14,6.21358,49.7114,-1044,4.6145,48.419,-924.983,164.374,47.5276,-923.547
314,-75.3119,49.4454,-925.483,7.12464,50.2556,-1163.14,6.21272,49.6859,-1043.96,4.25424,48.8015,-925.015,164.353,47.5598,-923.579
318,-75.3508,49.3165,-925.522,7.1228,50.264,-1163.13,6.1985,49.6853,-1044,4.33014,48.8608,-924.882,164.323,47.4813,-923.545
326,-75.1752,48.8858,-925.778,7.12231,50.2633,-1163.14,6.21595,49.7285,-1044,4.61186,48.4174,-925.013,164.324,47.4855,-923.554
330,-75.1673,48.8885,-925.739,7.09833,50.2617,-1163.15,6.27528,49.5292,-1044.04,4.62876,48.4004,-925.003,164.274,47.4862,-923.519
338,-75.1399,48.8984,-925.757,7.37521,49.7465,-1163.28,6.43533,49.1917,-1044.16,4.61459,48.367,-925.001,164.354,47.4668,-923.543
342,-75.1542,48.8559,-925.768,7.41969,49.7267,-1163.3,6.39988,49.208,-1044.16,4.68527,48.3957,-924.964,164.312,47.4967,-923.568
350,-75.1595,48.8755,-925.75,7.60683,49.6877,-1163.07,6.41517,49.2149,-1044.23,4.67269,48.4219,-924.993,164.328,47.4742,-923.525
354,-75.1723,48.9272,-925.737,7.64701,49.6812,-1163.08,6.39958,49.1955,-1044.2,4.66017,48.4102,-924.979,164.274,47.47,-923.528
362,-75.1595,48.8859,-925.734,7.62656,49.6572,-1163.07,6.40821,49.2635,-1044.26,4.6368,48.3839,-925.011,164.313,47.4592,-923.551
370,-75.1734,48.8481,-925.764,7.67283,49.6692,-1163.07,6.37115,49.2426,-1044.23,4.64579,48.3667,-924.997,164.269,47.4577,-923.582
374,-75.1503,48.8927,-925.733,7.65833,49.7848,-1163.07,6.38417,49.2345,-1044.2,4.68182,48.3934,-924.974,164.339,47.4872,-923.543
387,-75.1528,48.8993,-925.746,7.67221,49.7307,-1163.01,6.36352,49.2524,-1044.22,4.66386,48.4156,-924.972,164.364,47.4544,-923.537
393,-75.2427,48.8964,-925.837,7.86881,49.7867,-1163.07,6.51107,49.2396,-1044.23,4.5897,48.3893,-924.959,164.258,47.5108,-923.287
397,-75.2088,48.8988,-925.843,7.95029,49.7614,-1163.09,6.50762,49.2435,-1044.22,4.58009,48.3495,-924.997,164.213,47.5159,-923.221
404,-75.2478,48.892,-925.842,7.95603,49.7856,-1163.09,6.52188,49.2884,-1044.25,4.56837,48.227,-925.15,164.249,47.4857,-923.201
412,-75.2672,48.8331,-925.859,7.94052,49.8236,-1163.06,6.53377,49.2352,-1044.23,4.61508,48.3612,-924.995,164.221,47.5021,-923.218
420,-75.1546,48.8602,-925.718,7.54799,49.7511,-1163.05,6.34717,49.2473,-1044.24,4.71774,48.3724,-924.947,164.366,47.4472,-923.623
424,-75.2393,48.6749,-925.604,7.55418,50.1682,-1162.88,6.27904,49.3869,-1044.14,4.67089,48.3068,-924.838,164.312,47.4392,-923.554
428,-75.4135,48.3333,-925.502,7.97205,51.0471,-1162.6,6.42538,49.6555,-1043.91,4.50299,47.9458,-924.812,164.089,47.453,-922.841
435,-76.0784,47.6628,-925.687,9.04389,52.3255,-1162.14,6.81779,50.3202,-1043.46,3.95022,47.6808,-924.157,163.609,47.3335,-921.443
439,-76.2218,47.305,-925.657,10.2003,53.3359,-1161.83,7.24924,50.7131,-1043.06,3.62172,47.4722,-923.894,163.076,47.284,-920.183
447,-76.7221,46.5652,-925.806,11.9786,55.4754,-1161.18,7.94732,51.7259,-1042.23,2.99314,46.9965,-923.331,162.531,47.329,-917.93
451,-76.7543,46.3415,-925.641,11.8914,56.0964,-1160.96,7.95781,51.9906,-1042,2.94427,46.8188,-923.115,162.461,47.2976,-917.738
459,-76.832,46.3126,-925.786,12.2091,56.0828,-1160.94,8.05755,51.9894,-1041.99,2.85433,46.8326,-923.119,162.38,47.3041,-917.396
467,-76.7332,45.6513,-925.011,11.4111,57.676,-1160.47,7.68503,52.6556,-1041.46,2.92278,46.4159,-922.635,162.439,47.2981,-917.607
471,-76.6611,45.3365,-924.426,10.8427,58.5347,-1160.15,7.40142,52.9853,-1041.18,2.99869,46.0727,-922.262,162.544,47.2211,-917.79
479,-76.4053,45.1342,-923.243,9.68882,59.3064,-1159.66,6.81026,53.2018,-1040.52,3.36195,45.7638,-921.507,162.846,47.1915,-918.08
482,-76.3802,45.0067,-922.646,9.03003,59.9935,-1159.15,6.58365,53.4494,-1040.13,3.43079,45.5431,-921.093,162.925,47.1898,-918.172
490,-76.3585,44.0662,-921.136,7.60673,63.0621,-1157.23,5.40004,54.1864,-1038.92,3.59307,44.5418,-919.801,163.155,47.098,-917.603
